nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0026682	Eric Chase Anderson	1972	\N	actor,art_department,director	tt0432283,tt0362270,tt0265666,tt0128445
nm0026789	Harry Anderson	1952	2018	actor,writer,miscellaneous	tt0086770,tt0099864,tt0096708,tt0105982
nm0026841	James Anderson	1921	1969	actor,archive_footage	tt0056592,tt0065988,tt0065063,tt0046593
nm0026879	Jeff Anderson	1970	\N	actor,director,writer	tt0109445,tt0424345,tt0261392,tt1007028
nm0027271	Paul W.S. Anderson	1965	\N	writer,producer,director	tt0318627,tt0119081,tt0452608,tt1509767
nm0027323	Richard Anderson	1926	2017	actor,producer,archive_footage	tt0050825,tt0071054,tt0049223,tt0066473
nm0027392	Roy T. Anderson	\N	\N	stunts,actor,miscellaneous	tt0440963,tt1345836,tt14016198,tt0162650
nm0027424	Scott Anderson	1972	\N	actor,assistant_director,archive_footage	tt0120338,tt1204979,tt1833116,tt14138650
nm0027454	Stanley Anderson	1939	2018	actor	tt0120591,tt0107978,tt0313542,tt0145487
nm0027459	Stephen J. Anderson	1970	\N	animation_department,director,miscellaneous	tt0396555,tt1449283,tt0120917,tt0328880
nm0027571	Wendy Anderson	\N	\N	actress,director,writer	tt0433400,tt3854216,tt0410764,tt0192626
nm0027572	Wes Anderson	1969	\N	director,writer,producer	tt0432283,tt0265666,tt5104604,tt0128445
nm0027630	Benny Andersson	1946	\N	music_artist,music_department,composer	tt0795421,tt6911608,tt3659388,tt0274166
nm0027683	Harriet Andersson	1932	\N	actress,soundtrack,archive_footage	tt0069467,tt0055499,tt0046345,tt0048641
nm0027800	Peter Andersson	1953	\N	actor	tt1216487,tt1132620,tt3717252,tt1205537
nm0027957	Adjoa Andoh	1963	\N	actress,writer,producer	tt1057500,tt8740790,tt4332232,tt0436992
nm0028551	A. Russell Andrews	\N	\N	actor,producer,assistant_director	tt5024912,tt6850820,tt1398426,tt3560084
nm0028584	Brian Andrews	1966	\N	actor,archive_footage	tt0077651,tt0079239,tt0058796,tt0094138
nm0028625	David Andrews	1952	\N	actor,archive_footage	tt0181852,tt0112384,tt0977855,tt0092746
nm0028647	Edward Andrews	1914	1985	actor,soundtrack,archive_footage	tt0088128,tt0087363,tt0066473,tt0053793
nm0028690	Jason Andrews	\N	\N	actor	tt0175880,tt0120577,tt0272338,tt0118749
nm0028764	Mark Andrews	1968	\N	art_department,director,writer	tt1217209,tt0401729,tt12019144,tt0129167
nm0028787	Michael Andrews	\N	\N	composer,music_department,actor	tt0246578,tt0284978,tt1284575,tt1478338
nm0028846	Shawn Andrews	1971	\N	actor	tt1103221,tt1230364,tt0106677
nm0029400	Michael Angarano	1987	\N	actor,director,writer	tt0405325,tt0865556,tt2231253,tt0181875
nm0029456	Heather Angel	1909	1986	actress,miscellaneous,archive_footage	tt0046183,tt0034248,tt0043274,tt0037017
nm0029460	Jack Angel	1930	2021	actor,miscellaneous,producer	tt0212720,tt0112453,tt0114709,tt0129167
nm0029464	Jennifer Angel	\N	\N	actress	tt0154506
nm0029962	Álex Angulo	1953	2014	actor,producer,archive_footage	tt0457430,tt0112922,tt0118819,tt1784167
nm0030250	Ron Annabelle	\N	\N	transportation_department,miscellaneous,actor	tt10418662,tt0489099,tt0186151,tt0292506
nm0030735	Nimród Antal	1973	\N	director,actor,writer	tt0373981,tt0985694,tt1424381,tt0913354
nm0030991	Ray Anthony	\N	\N	stunts,actor,assistant_director	tt1418377,tt11224752,tt0120755,tt0234215
nm0031359	Marty Antonini	\N	\N	actor,archive_footage	tt0388795,tt0250687,tt1559040,tt0211465
nm0031398	Lou Antonio	1934	\N	director,actor,producer	tt0061512,tt0108724,tt0060028,tt0115277
nm0031509	Vittorio Antonucci	\N	\N	actor	tt0040522
nm0031655	Christine Anu	1970	\N	actress,producer,soundtrack	tt0234215,tt0203009,tt1802360,tt0277828
nm0031679	Cas Anvar	\N	\N	actor,writer,director	tt3230854,tt8000718,tt7945440,tt3170832
nm0031750	Amy Anzel	1973	\N	producer,executive,actress	tt1650554,tt0837124,tt13445464,tt0426313
nm0031976	Judd Apatow	1967	\N	producer,writer,director	tt1723816,tt0478311,tt9686708,tt0405422
nm0032009	Apesanahkwat	1949	\N	actor	tt5362988,tt0106168,tt2249007,tt0105946
nm0032216	Peter Appel	1959	\N	actor,miscellaneous,archive_sound	tt8206668,tt1578887,tt0110413,tt0264235
nm0032370	Noel Appleby	1933	2007	actor	tt0120737,tt0167260,tt0095709,tt0100852
nm0032398	Jeremy Applegate	1965	2000	actor	tt0097493,tt0092312,tt0138060,tt0233112
nm0032810	Julian Arahanga	1972	\N	director,producer,actor	tt0133093,tt0110729,tt11917552,tt10360064
nm0032875	Tarô Arakawa	\N	2012	actor	tt0094625,tt0106064,tt0170181,tt3788114
nm0032962	Tomas Arana	\N	\N	actor,producer,archive_footage	tt0172495,tt7157248,tt0372183,tt1219289
nm0033079	Michael Aronov	\N	\N	actor	tt1600196,tt2149175,tt5208252,tt6906362
nm0033550	Enrique Arce	1972	\N	actor,writer,archive_footage	tt4555364,tt6468322,tt0458413,tt0222812
nm0033758	Craig Archibald	1963	\N	actor,producer,director	tt0379725,tt1433022,tt1692081,tt10443252
nm0034082	Gino Ardito	1935	2001	actor,archive_footage	tt0075314,tt0077289,tt0075359,tt0065317
nm0034305	Lee Arenberg	1962	\N	actor,writer,director	tt0325980,tt0449088,tt0383574,tt0107978
nm0034309	Geoffrey Arend	1978	\N	actor,director,writer	tt1022603,tt0333766,tt0247745,tt0267891
nm0034390	Niels Arestrup	1949	\N	actor,writer,director	tt1235166,tt1568911,tt3129564,tt0401383
nm0034519	Victor Argo	1934	2004	actor,miscellaneous,soundtrack	tt0099939,tt0165798,tt0091828,tt0095497
nm0034733	Yancey Arias	\N	\N	actor,producer,writer	tt0324865,tt0337978,tt1064899,tt3502248
nm0034877	Jonathan Aris	1971	\N	actor,archive_footage	tt20916306,tt6257970,tt8368406,tt1475582
nm0034962	Kristen Ariza	\N	\N	actress,writer	tt5028002,tt3502248,tt4608402,tt2262532
nm0035060	Adam Arkin	1956	\N	actor,director,producer	tt5761496,tt1019452,tt1124373,tt1489428
nm0035082	Murat Arkin	1975	\N	actor	tt5813916,tt7146600,tt6697582,tt3345952
nm0035128	Swann Arlaud	1981	\N	actor,director,writer	tt17009710,tt6805302,tt8095860,tt1565958
nm0035131	Algis Arlauskas	1957	\N	actor,director,writer	tt8228288,tt11582854,tt2738904,tt0084716
nm0035395	Jillian Armenante	1968	\N	actress,producer,director	tt11212276,tt6266538,tt1345836,tt1284575
nm0035488	Fred Armisen	1966	\N	music_department,actor,writer	tt1780441,tt0357413,tt0072562,tt1282140
nm0035514	Richard Armitage	1971	\N	actor,producer,writer	tt0903624,tt2310332,tt1170358,tt2106361
nm0035562	Annabel Armour	\N	\N	actress,producer	tt0384806,tt0120749,tt1598778,tt1244754
nm0035602	Alexander Armstrong	1970	\N	actor,writer,producer	tt1130073,tt0416320,tt0134033,tt0457513
nm0035605	Alun Armstrong	1946	\N	actor,soundtrack,archive_footage	tt0209163,tt0085811,tt0338526,tt0162661
nm0035661	Craig Armstrong	1959	\N	composer,music_department,soundtrack	tt0203009,tt1343092,tt0800080,tt0350258
nm0035664	Curtis Armstrong	1953	\N	actor,producer,writer	tt0088794,tt0086200,tt0088000,tt0405336
nm0035676	Dean Armstrong	1973	\N	producer,actor,director	tt21064598,tt0262985,tt0460681,tt11525188
nm0035730	Hugo Armstrong	\N	\N	actor,producer,writer	tt6000478,tt6064882,tt5859238,tt2866360
nm0035866	R.G. Armstrong	1917	2012	actor,soundtrack,archive_footage	tt0093773,tt0099422,tt0061619,tt0087050
nm0035899	Samuel Armstrong	1893	1976	animation_department,director,writer	tt0033563,tt0034492,tt0029583,tt0046593
nm0036127	Denis Arndt	1939	\N	actor,writer,producer	tt0257076,tt0103772,tt0416496,tt0281322
nm0036261	Jeannetta Arnette	\N	\N	actress,soundtrack,archive_footage	tt0171804,tt0910936,tt0223897,tt0120824
nm0036427	Edward Arnold	1890	1956	actor,soundtrack,archive_footage	tt0030993,tt0031679,tt0033532,tt0033891
nm0036553	Mark Arnold	1957	\N	actor,producer,archive_footage	tt0090142,tt1856101,tt5761544,tt6189022
nm0036732	Stewart Arnott	\N	\N	actor,assistant_director	tt5580390,tt3526078,tt5296406,tt1091909
nm0036907	Gaetano Aronica	\N	\N	actor	tt0213847,tt1047931,tt9184986,tt0491720
nm0037118	Richmond Arquette	1963	\N	actor,writer,archive_footage	tt0443706,tt0421715,tt1536439,tt0866439
nm0037410	Karina Arroyave	\N	\N	actress	tt2741602,tt2372162,tt0285331,tt0097722
nm0037807	Michelle Arthur	\N	\N	actress,writer,miscellaneous	tt0113189,tt0317919,tt0369441,tt0481369
nm0037871	Sophie Arthuys	\N	\N	actress,writer,miscellaneous	tt0219139,tt0808417,tt0098488,tt0961097
nm0038042	Paula Arundell	\N	\N	actress,soundtrack	tt2404233,tt0424880,tt14966898,tt5583554
nm0038355	Tadanobu Asano	1973	\N	actor,director,composer	tt0416044,tt1440129,tt3501632,tt0800369
nm0038432	Kelly Asbury	1960	2020	art_department,animation_department,actor	tt0377981,tt0298148,tt0166813,tt0101414
nm0038458	Nelson Ascencio	1964	\N	actor,writer,director	tt1392170,tt1951264,tt1092026,tt10949044
nm0038614	Arian Ash	1978	\N	actress	tt0183649,tt0170691,tt2908446,tt0313443
nm0038680	Ashanti	1980	\N	music_artist,actress,producer	tt0393162,tt0455967,tt0432021,tt3696610
nm0038870	Jane Asher	1946	\N	actress,music_department,soundtrack	tt0795368,tt0058333,tt0066122,tt0060086
nm0038914	Renée Asherson	1915	2014	actress,archive_footage	tt0087756,tt0230600,tt0070791,tt0036910
nm0038918	Kate Ashfield	1972	\N	actress,writer,producer	tt0365748,tt0250491,tt0294357,tt0202381
nm0038942	Matthew Ashforde	\N	\N	actor	tt0179060,tt0379628,tt2401919,tt1320395
nm0039051	Elizabeth Ashley	1939	\N	actress,archive_footage	tt0081759,tt0147612,tt0077355,tt0092003
nm0039162	Shawn Ashmore	1979	\N	actor,producer,archive_footage	tt0290334,tt1323045,tt0376994,tt0120903
nm0039226	John Ashton	1948	\N	actor,soundtrack,archive_footage	tt0452623,tt0086960,tt0095631,tt0094006
nm0039435	Luke Askew	1932	2012	actor,archive_footage	tt0064276,tt0061512,tt0264616,tt0062886
nm0039625	Chuck Aspegren	1940	2022	actor,soundtrack	tt0077416
nm0039665	Vanessa Aspillaga	1972	\N	actress,archive_sound	tt1126618,tt12747748,tt0758752,tt5503686
nm0039678	Mark Aspinall	\N	\N	actor	tt0318649,tt0053494,tt0088512,tt0098032
nm0039764	Ratna Assan	1954	\N	actress	tt0070511,tt0058829,tt0057743,tt1229032
nm0040012	Ali Astin	1996	\N	actress,soundtrack	tt0167260,tt3349578,tt27723650,tt26901713
nm0040058	David Aston	\N	\N	actor,archive_footage	tt0133093,tt0167260,tt0834001,tt1436278
nm0040217	Tim Atack	\N	\N	composer,writer,music_department	tt13464674,tt8694594,tt1058017,tt0117509
nm0040469	Simon Atherton	1957	\N	miscellaneous,art_department,actor	tt0434409,tt1735898,tt0119116,tt1631867
nm0040472	William Atherton	\N	\N	actor,producer,soundtrack	tt0095016,tt0087332,tt0089886,tt0072848
nm0040551	Alonzo Atkins	\N	\N	actor,archive_footage	tt0080455
nm0040586	Eileen Atkins	1934	\N	actress,writer,miscellaneous	tt0280707,tt0159365,tt0286788,tt0955308
nm0040653	Sharif Atkins	1975	\N	actor,director,producer	tt0108757,tt7608028,tt2015381,tt0389564
nm0040662	Tom Atkins	1935	\N	actor,archive_footage	tt0085636,tt0091630,tt0080749,tt1179891
nm0040739	Jayne Atkinson	1959	\N	actress,producer,soundtrack	tt0106965,tt0368447,tt0285331,tt0113114
nm0040857	Siamak Atlassi	1936	2021	actor,writer,director	tt1899249,tt5354644,tt10105040,tt13511248
nm0040939	Yvan Attal	1965	\N	actor,writer,director	tt13285394,tt0293564,tt0408306,tt0269499
nm0041029	Edward Atterton	1962	\N	actor,archive_footage	tt0120744,tt0210943,tt0287839,tt0285333
nm0041066	Antonella Attili	1963	\N	actress,production_manager	tt0095765,tt0207676,tt20871388,tt11576938
nm0041165	Roy Atwell	1878	1962	actor,writer,soundtrack	tt0010244,tt0014497,tt0028619,tt0034736
nm0041281	Rene Auberjonois	1940	2019	actor,director,soundtrack	tt0106145,tt0066026,tt0402711,tt0187393
nm0041598	Eleanor Audley	1905	1991	actress,miscellaneous,soundtrack	tt0053285,tt0042332,tt0057765,tt0047732
nm0041756	Patrick Auffay	\N	\N	actor	tt0053198,tt1180329,tt0055747,tt7371654
nm0041935	Phoebe Augustine	\N	\N	actress,archive_footage	tt0105665,tt5334704,tt0098936,tt4093826
nm0041978	Sherman Augustus	\N	\N	actor,producer,cinematographer	tt0120458,tt0312700,tt0094894,tt0236493
nm0042317	Albert Austin	1882	1953	actor,writer,director	tt0021749,tt0013713,tt0014374,tt0015970
nm0042524	Steve Austin	1964	\N	actor,producer,writer	tt0443473,tt1320253,tt0398165,tt2119474
nm0042805	Erick Avari	1952	\N	actor,director,writer	tt0280590,tt0120616,tt0111282,tt9471404
nm0042998	Lloyd Avery II	1969	2005	actor,miscellaneous,archive_footage	tt0101507,tt0273226,tt0107840,tt0196708
nm0043011	Brian Avery	1940	\N	actor,producer,soundtrack	tt0070707,tt0061722,tt0181865,tt0059991
nm0043039	Garth Avery	\N	1994	actress	tt0075314
nm0043041	James Avery	1945	2013	actor,producer,soundtrack	tt0131613,tt0089155,tt0361696,tt0095519
nm0043170	Angel Aviles	\N	\N	actress,director,writer	tt0112851,tt0107566,tt1882954,tt0104201
nm0043173	Rick Aviles	1952	1995	actor,soundtrack,archive_footage	tt0114898,tt0099653,tt0082136,tt0106519
nm0043589	Eva Axén	1954	\N	actress,archive_footage	tt0076786,tt0229627,tt0078000,tt0071834
nm0043742	David Ayer	1968	\N	producer,writer,director	tt1855199,tt1742334,tt1386697,tt0433387
nm0043855	Reiko Aylesworth	1972	\N	actress,director,producer	tt0758730,tt0285331,tt0780571,tt2070791
nm0043891	John Aylward	1946	2022	actor,camera_department,writer	tt0120591,tt0108308,tt0128278,tt0395972
nm0043931	Rakie Ayola	1968	\N	actress,producer,soundtrack	tt1682886,tt6751482,tt3922704,tt1343727
nm0044073	Lubna Azabal	1973	\N	actress,archive_footage	tt1255953,tt1372686,tt0758774,tt17679584
nm0044318	Anthony Azizi	\N	\N	actor,miscellaneous,archive_footage	tt1059786,tt1234721,tt0822847,tt1399103
nm0044974	Lucas Babin	1979	\N	actor,art_department,soundtrack	tt0332379,tt0393109,tt0420362,tt0069658
nm0045219	Mike Bacarella	1948	\N	actor,make_up_department	tt0114924,tt0106977,tt0120004,tt0119738
nm0045324	John Bach	1946	\N	actor,miscellaneous,archive_footage	tt0167261,tt0387736,tt0167260,tt0102581
nm0045480	James Bachman	1972	\N	actor,writer,director	tt2109248,tt0499410,tt0760141,tt1294081
nm0045637	Brian Backer	1956	\N	actor,archive_footage	tt0083929,tt0217630,tt0093756,tt0082118
nm0045681	Susan Backlinie	1946	\N	actress,stunts,miscellaneous	tt0073195,tt0078723,tt0082474,tt0075913
nm0045813	Nick Bacon	\N	\N	camera_department,actor	tt0211443,tt0217630,tt0318627,tt0259446
nm0045935	Joseph Badalucco Jr.	\N	\N	art_department,actor,stunts	tt0250797,tt1058017,tt0995039,tt0120685
nm0045937	Michael Badalucco	1954	\N	actor,art_department,producer	tt0110413,tt0118437,tt0190590,tt0100150
nm0045968	Hermione Baddeley	1906	1986	actress,soundtrack,archive_footage	tt0084649,tt0068103,tt0058331,tt0065421
nm0045993	Bolaji Badejo	1953	1992	actor,archive_footage	tt0078748,tt0200358
nm0046004	Klaus Badelt	1967	\N	music_department,composer,producer	tt0325980,tt0268695,tt0360486,tt0172495
nm0046033	Diedrich Bader	1966	\N	actor,producer,soundtrack	tt0151804,tt0374900,tt0385307,tt1073498
nm0046112	Penn Badgley	1986	\N	actor,producer,director	tt7335184,tt0397442,tt1282140,tt1615147
nm0046223	Sayed Badreya	1957	\N	actor,producer,writer	tt0371746,tt0960144,tt1800763,tt0808148
nm0046277	Bae Doona	1979	\N	actress,archive_footage	tt1371111,tt0310775,tt0468492,tt14998742
nm0046420	Giacomo Baessato	\N	\N	actor,writer	tt6470478,tt10313176,tt0106179,tt4532368
nm0046541	Larry Bagby	1974	\N	actor,producer,composer	tt0107120,tt0970416,tt0358273,tt0373283
nm0046564	Ross Bagdasarian	1919	1972	writer,actor,music_department	tt0047396,tt0952640,tt0181875,tt4630562
nm0046715	Lorri Bagley	1973	\N	actress	tt0327162,tt0268380,tt0162710,tt0114694
nm0046723	Ross Bagley	1988	\N	actor	tt0110366,tt0116629,tt0112431,tt0098800
nm0046730	Tim Bagley	1957	\N	actor,writer,producer	tt12759100,tt3609352,tt0478311,tt0157246
nm0046768	Robert Bagnell	\N	\N	actor,writer,miscellaneous	tt0277434,tt1670345,tt0364845,tt1674776
nm0047121	Robert Bailey Jr.	\N	\N	actor,producer	tt0949731,tt0327597,tt0258470,tt0259288
nm0047155	Bill Bailey	1965	\N	actor,writer,composer	tt0425112,tt0371724,tt0262150,tt1487118
nm0047265	G.W. Bailey	1944	\N	actor,soundtrack,archive_footage	tt0087928,tt0091949,tt0093493,tt0093756
nm0047332	Jonathan Bailey	1988	\N	actor,soundtrack,archive_footage	tt8740790,tt5295524,tt2249364,tt3610926
nm0047392	Marion Bailey	1951	\N	actress,archive_footage	tt0383694,tt2473794,tt3640424,tt4786824
nm0047440	Pearl Bailey	1918	1990	actress,writer,soundtrack	tt0082406,tt0053182,tt0046828,tt0039951
nm0047450	Raymond Bailey	1904	1980	actor,soundtrack,archive_footage	tt0055662,tt0052357,tt0048696,tt0052520
nm0047549	David Bailie	1937	2021	actor,archive_footage	tt0325980,tt0449088,tt0383574,tt0172495
nm0047800	Beulah Bains	1905	1930	actress	tt0012037
nm0047962	Chieko Baishô	1941	\N	actress,soundtrack,archive_footage	tt0347149,tt0081288,tt0066190,tt0073498
nm0048075	Manoj Bajpayee	1969	\N	actor,producer,music_department	tt1954470,tt0195231,tt0289845,tt24485052
nm0048127	Helmut Bakaitis	1944	\N	actor,miscellaneous,writer	tt0234215,tt0242653,tt0366548,tt2119532
nm0048147	Richard Bakalyan	1931	2015	actor,writer,producer	tt0071315,tt0082406,tt0059885,tt0050213
nm0048159	Ariyon Bakare	1971	\N	actor,director,writer	tt5442430,tt0468569
nm0048250	Becky Ann Baker	1953	\N	actress,producer,soundtrack	tt0120324,tt0119654,tt0413300,tt0371257
nm0048260	Betsy Baker	1955	\N	actress,miscellaneous,producer	tt0083907,tt2649356,tt3973768,tt1623205
nm0048273	Blanche Baker	1956	\N	actress,writer,producer	tt0830558,tt0088128,tt0772175,tt0091828
nm0048301	Buddy Baker	1918	2002	composer,music_department,soundtrack	tt0082406,tt0338094,tt2096673,tt0068990
nm0048389	Dee Bradley Baker	1962	\N	actor,miscellaneous,sound_department	tt0397306,tt0852863,tt0117705,tt2279373
nm0048414	Dylan Baker	1959	\N	actor,director,producer	tt0147612,tt0959337,tt1020072,tt0862856
nm0048450	Frank Baker	\N	\N	actor	tt0093177,tt0108071,tt1371155,tt0455957
nm0048452	Fred Baker	1932	2011	producer,director,writer	tt0077402,tt9716008,tt1186635,tt0210031
nm0048468	George Baker	1931	2011	actor,writer,miscellaneous	tt0064757,tt0076752,tt0074006,tt0048611
nm0048589	Joe Baker	1928	2001	actor,writer,miscellaneous	tt0114148,tt0101516,tt0107977,tt0109686
nm0048652	Kenny Baker	1934	2016	actor,miscellaneous,soundtrack	tt0081633,tt0121766,tt0080678,tt0080684
nm0048755	Max Baker	\N	\N	actor,writer,producer	tt0360486,tt0383574,tt0268695,tt4049044
nm0048798	Nellie Bly Baker	1893	1984	actress,miscellaneous	tt0014952,tt0017457,tt0017698,tt0020254
nm0048844	Ray Baker	1948	\N	actor	tt5574490,tt0100802,tt1797404,tt0116253
nm0048917	Sean Baker	\N	\N	actor	tt0082010,tt1617661,tt0820333,tt0106138
nm0048918	Sean Baker	\N	\N	writer,producer,director	tt13453006,tt3824458,tt5649144,tt2035630
nm0048932	Simon Baker	1969	\N	actor,producer,director	tt1615147,tt1196946,tt0458352,tt0418819
nm0049079	Dato Bakhtadze	1966	\N	actor	tt0493464,tt0375679,tt2638144,tt1093357
nm0049099	Bianca Hunter	1969	\N	actress	tt0964517,tt0103759,tt0226935,tt0117958
nm0049346	Patrick Baladi	1971	\N	actor,archive_footage	tt0963178,tt0290978,tt1979320,tt21040162
nm0049371	Jaume Balagueró	1968	\N	director,writer,producer	tt1038988,tt1437358,tt0222368,tt1245112
nm0049633	Kyle Balda	1971	\N	animation_department,director,visual_effects	tt5113044,tt3469046,tt2293640,tt1482459
nm0049852	Bill Baldwin	1913	1982	actor,archive_footage	tt0079817,tt0075148,tt0084602,tt0059991
nm0049943	Judith Baldwin	\N	\N	actress,archive_footage	tt0100405,tt0073747,tt0087810,tt0078945
nm0050156	Eric Balfour	1977	\N	actor,producer,director	tt13111040,tt11717394,tt0248654,tt0285331
nm0050187	Arun Bali	1942	2022	actor,archive_footage	tt1187043,tt2283748,tt2338151,tt2082197
nm0050458	Sam Ball	1973	\N	actor,writer,editor	tt0337563,tt0265591,tt0272020,tt2040560
nm0050594	Brenda Ballard	1954	\N	actress	tt0337921,tt0460649,tt0393049,tt2113408
nm0050659	Reginald Ballard	\N	\N	actor,writer,producer	tt1499658,tt0103488,tt0107554,tt0364845
nm0050959	Pedro Pascal	1975	\N	actor,producer,soundtrack	tt3581920,tt8111088,tt0944947,tt4649466
nm0050975	Timothy Balme	1967	\N	actor,writer,script_department	tt0103873,tt3640276,tt0294146,tt0138529
nm0051257	Kirk Baltz	1959	\N	actor,producer,miscellaneous	tt6439752,tt4428124,tt1378167,tt0105236
nm0051394	David Bamber	1954	\N	actor,soundtrack,archive_footage	tt0985699,tt0482546,tt0258463,tt0095302
nm0051397	Jamie Bamber	1973	\N	actor,producer,archive_footage	tt0407362,tt1166893,tt5269594,tt1492179
nm0051469	Maria Bamford	1970	\N	actress,writer,producer	tt0414853,tt2141773,tt1695360,tt1128052
nm0051482	Gerry Bamman	1941	\N	actor,archive_footage	tt0099785,tt0104431,tt0093936,tt0167427
nm0051509	Eric Bana	1968	\N	actor,writer,producer	tt7945720,tt0408306,tt0332452,tt0221073
nm0051643	Tony Bancroft	1967	\N	animation_department,art_department,director	tt0120762,tt5028340,tt0243585,tt0103639
nm0051822	Cristina Banegas	1948	\N	actress,director,writer	tt0463404,tt1726888,tt8404614,tt1404588
nm0051862	Lisa Banes	1955	2021	actress	tt2267998,tt4731136,tt0094889,tt0096487
nm0051903	Claes Bang	1967	\N	actor,soundtrack,archive_footage	tt4995790,tt11138512,tt8342680,tt15469618
nm0051939	Thomas Bangalter	1975	\N	composer,actor,music_department	tt1104001,tt0800022,tt0120053,tt1386697
nm0052103	Boyd Banks	1964	\N	actor,writer,soundtrack	tt0363547,tt0211443,tt0115697,tt0418819
nm0052186	Jonathan Banks	1947	\N	actor,writer,producer	tt2396589,tt0903747,tt0087363,tt0086856
nm0053028	Philip Barantini	1980	\N	director,producer,actor	tt22889176,tt12648266,tt20918594,tt11127680
nm0053335	Butch Barbella	\N	\N	music_department,composer,soundtrack	tt0106489,tt0470737,tt1233332
nm0053427	Lesley Barber	1968	\N	composer,music_department,soundtrack	tt4034228,tt6107548,tt0203230,tt0178737
nm0053448	Paul Barber	1951	\N	actor,archive_footage	tt0119164,tt0227984,tt0081070,tt0081912
nm0054036	Don Barclay	1892	1975	actor,miscellaneous,soundtrack	tt0042332,tt0034717,tt0029034,tt0043274
nm0054087	Roger Barclay	\N	\N	actor,producer,archive_footage	tt1634122,tt1758810,tt6921996,tt26900599
nm0054397	Arija Bareikis	1966	\N	actress	tt0205000,tt2184339,tt0481141,tt0292963
nm0054513	Ian Barford	1966	\N	actor,executive,archive_footage	tt0337563,tt0120873,tt0257044,tt2948790
nm0054697	Ike Barinholtz	1977	\N	actor,producer,writer	tt1386697,tt1213644,tt2004420,tt2211129
nm0054837	Bob Barker	1923	2023	producer,actor,archive_footage	tt0068120,tt0116483,tt0460649,tt0115365
nm0055271	Patrick Barlow	1947	\N	actor,writer,director	tt0243155,tt0138097,tt0125439,tt0273392
nm0055455	Omer Barnea	1980	\N	actor	tt2911666,tt4354042,tt1839578,tt12819234
nm0055549	Christopher Daniel Barnes	1972	\N	actor,soundtrack,archive_footage	tt0097757,tt0118073,tt0112572,tt0086886
nm0055645	Joanna Barnes	1934	2022	actress,archive_footage	tt0051383,tt0120783,tt0055277,tt0054331
nm0055712	Milton Barnes	\N	\N	actor,miscellaneous,soundtrack	tt1386703,tt1663662,tt10574236,tt1352824
nm0055733	Priscilla Barnes	\N	\N	actress,producer,archive_footage	tt3566726,tt0075596,tt0395584,tt0097742
nm0055794	Susan Barnes	\N	\N	actress	tt0087995,tt0096256,tt0171580,tt0120179
nm0056041	Kacey Clarke	1988	\N	actress,writer,producer	tt1220634,tt0483776,tt2537176,tt1220617
nm0056187	Sacha Baron Cohen	1971	\N	actor,writer,producer	tt0443453,tt13143964,tt1707386,tt0889583
nm0056477	Byron Barr	1917	1966	actor	tt0036775,tt0038177,tt0043024,tt0039816
nm0056550	Nathan Barr	\N	\N	composer,music_department,miscellaneous	tt0303816,tt0844441,tt0482599,tt2039338
nm0056770	Adriana Barraza	1956	\N	miscellaneous,director,actress	tt0449467,tt9362930,tt1127180,tt1206885
nm0056936	Sasha Barrese	1981	\N	actress	tt1119646,tt1411697,tt1228987,tt1951261
nm0057150	Jacinda Barrett	1972	\N	actress,archive_footage	tt0409182,tt0349710,tt0434139,tt0308383
nm0057221	Mark Barrett	\N	\N	actor,miscellaneous	tt0257106,tt0111405,tt2365971,tt0898266
nm0057254	Ray Barrett	1927	2009	actor,archive_footage,archive_sound	tt0455824,tt0057790,tt0085612,tt0061094
nm0057349	Marco Barricelli	1958	\N	actor	tt12801262,tt0470642,tt11418672,tt0191898
nm0057363	Barbara Barrie	1931	\N	actress,soundtrack,archive_footage	tt0078902,tt0119282,tt0081375,tt0072472
nm0057368	Chris Barrie	1960	\N	actor,miscellaneous,writer	tt0146316,tt0325703,tt0094535,tt0101054
nm0057642	Robert V. Barron	1932	2000	actor,writer,miscellaneous	tt0096928,tt0079833,tt0088595,tt0294022
nm0057654	Dana Barron	1966	\N	actress,producer,casting_department	tt0085995,tt0098749,tt0089264,tt1481572
nm0057856	Geoff Barrow	1971	\N	composer,soundtrack,music_department	tt13365348,tt0470752,tt2798920,tt2818252
nm0058089	Matthew Barry	\N	\N	casting_director,actor,casting_department	tt1935136,tt2203939,tt0332280,tt0266915
nm0058099	Michael Barry	\N	\N	actor,miscellaneous,archive_footage	tt0363547,tt0165710,tt3281548,tt0111987
nm0058175	Thom Barry	1950	\N	actor,producer,archive_footage	tt0232500,tt0322259,tt0116629,tt0117705
nm0058178	Todd Barry	1964	\N	actor,writer,producer	tt1125849,tt1561755,tt0863046,tt1492966
nm0058181	Tony Barry	1941	2022	actor,miscellaneous,soundtrack	tt0455824,tt1601195,tt0082464,tt0138505
nm0058372	Roger Bart	1962	\N	actor,soundtrack,archive_footage	tt0395251,tt0765429
nm0058384	John Bartha	1915	1991	actor	tt0060196,tt0188483,tt0058865,tt0063859
nm0058581	Justin Bartha	1978	\N	actor,producer,miscellaneous	tt0368891,tt0299930,tt1119646,tt0465234
nm0058783	Bonnie Bartlett	1929	\N	actress,soundtrack,archive_footage	tt0083483,tt0085106,tt0096320,tt0113211
nm0058864	Murray Bartlett	1971	\N	actor,producer,soundtrack	tt3581920,tt13406094,tt1753460,tt2287945
